HPRNummer;Personnummer;Fornavn;Mellomnavn;Etternavn;Fødselsdato;Dødsdato;Kjønn;SistOppdatert;Statsborgerskap;Adresse;Postnummer;Poststed;Land
1001019;29042845742;VIDAR DANIEL;;WALASZCZYK;1928.04.29 00:00:00;;kjonn:1;2016.07.08 12:21:13;landkoder:NO;STENSENGDALEN 10;2380;BRUMUNDDAL;
1001027;21014840920;PÅL RASMUS;;PYSNO;1948.01.21 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;;5474;LØFALLSTRAND;
1001035;18064926558;KARL FREDRIK MATTIAS;KAAVEN;ROSENLID;1949.06.18 00:00:00;;kjonn:1;2015.09.02 19:52:44;landkoder:NO;OSLOVEIEN 381;1539;MOSS;
1001043;25128616759;PHILLIP WILLIAM;;GIANNI;1986.12.25 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;TORGGATA 131 B;2317;HAMAR;
1001078;14117345700;DEVINDER SINGH;KRAGEBØL;ROZALSKI;1973.11.14 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;L.611 SOGNSVEIEN 32;0851;OSLO;
1001086;09046818358;YEHIA;EIKEROL;HELMA;1968.04.09 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;AUSTRINGEN 16;4352;KLEPPE;
1001108;04025040371;FERNANDEZ JOS;;LEMAITRE;1950.02.04 00:00:00;;kjonn:1;2017.03.29 03:18:16;landkoder:NO;AURDAL BOFELLESSKAP;2910;AURDAL;
1001116;25046815397;NIROSHAN;;VALDES RODRIGUEZ;1968.04.25 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BYAHØGDA 1;7650;VERDAL;
1001132;17076715505;PER TORLEIF;;REYNANTE;1967.07.17 00:00:00;;kjonn:1;2013.10.07 11:06:00;;ØVRE MAIHAUGEN 2 D;3741;SKIEN;
1001159;22078216003;GYRID MARGRETHE;;GREVSNES;1982.07.22 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BREVIKSVEGEN 39;3942;PORSGRUNN;
1001167;10027539101;HANS SIGMUND;;UZDROWSKI;1975.02.10 00:00:00;;kjonn:1;2013.10.07 11:06:00;;PAUL RØSTADS VEG 49;7039;TRONDHEIM;
1001175;09095312281;EVA-JANNE;;MUCHER;1953.09.09 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SØRKEDALSVEIEN 256 L;0754;OSLO;
1001183;26118720244;SUAD ABDULKADIR;;SVENGAARD;1987.11.26 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;TILLER-RINGEN 17 B;7092;TILLER;
1001191;22087447212;KAIA-SOFIE;;STRØMNÆS;1974.08.22 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SKOGÅSVEGEN 26;9011;TROMSØ;
1001221;01097140452;LINE EVELYN;;NANKOVA;1971.09.01 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;LATINSKOLEGAT 7 6004 ÅLESUND;6250;STORDAL;
1001299;27065901353;CIAN;;HÅVARDSHOLM;1959.06.27 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;AUNVEGEN 216;7383;HALTDALEN;
1001302;03105917510;SHARMAARKE;;SHABALALA;1959.10.03 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;TUNRAPPVEGEN 28;4352;KLEPPE;
1001337;22087226976;SVEIN TORFINN;;SZEKER;1972.08.22 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;OLE BYGDEVEKTERS VEI 23;1430;ÅS;
1001345;02048340310;CHRISTOFFER JÖRGEN;;PAPIROWSKI;1983.04.02 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;VALVEGEN 23;6092;FOSNAVÅG;
1001361;05057104076;BRITT ANN-KRISTIN;THORSÅS;GIEBELS;1971.05.05 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;BETELGATA 6;3520;JEVNAKER;
1001388;22124341020;MARI SOFI;;FRIGLAND;1943.12.22 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;KONSUL BØRS  GATE 13 B;5006;BERGEN;
1001396;20038226895;AGA;;ROUX;1982.03.20 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;WESTYE EGEBERGS GATE 3 B;0177;OSLO;
1001418;45067739616;EMMA CAMILLA;;SLUTÅS;1977.06.05 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;C/O ADVOKAT STEIN CARL HALLE RÅDHUSGT. 23 0158 OSLO;0158;OSLO;
1001426;26096423798;LARRY DELA CRUZ;;SALU;1964.09.26 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GUBBERUDVEGEN 8 B;2312;OTTESTAD;
1001442;06097914751;DENNIS MAGNUS;;MUSKULUS;1979.09.06 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;HAVRENESVEGEN 26;6900;FLORØ;
1001450;03066927694;SYNNØVE AASE;WALLDÉN;BALIJOVSKA;1969.06.03 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SKÅLEVIKSTØLEN 26;5178;LODDEFJORD;
1001469;16076112766;ZBIGNEW;;ERON;1961.07.16 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;FURUMOEN 1 D;1168;OSLO;
1001493;13026908897;MAIBEL;;HASSELBAKK;1969.02.13 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;OVE GEDDES VEG 14;3714;SKIEN;
1001515;24108201564;SUVANI;;OBRADOR;1982.10.24 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;ØVRE TOPPENHAUG 60;1353;BÆRUMS VERK;
1001523;26067106481;ANITA WIBECKE;;PONDO;1971.06.26 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;NYHEIMSVEGEN 23 A;7058;JAKOBSLI;
1001531;04014912334;RENÄRS;BOLGÅRD;HOJJAT SHAMAMY;1949.01.04 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;TÅSENVEIEN 124;0880;OSLO;
1001558;24098630038;VALLY HARRIET;;LEIREN;1986.09.24 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;GULLVIKVEGEN 32 C;7800;NAMSOS;
1001574;14024536611;EVA INGVARDA;;SVEBAKK-BØHN;1945.02.14 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;NAMSVOLD SØNDRE;7860;SKAGE I NAMDALEN;
1001582;15106737743;GRAHAM DENNIS;;SPARØY;1967.10.15 00:00:00;;kjonn:1;2013.10.07 11:06:00;;BETZY KJELSBERGS VEI 18 C;0486;OSLO;
1001590;25076935060;MARIT INGEBJØRG;;KARAJLIC;1969.07.25 00:00:00;;kjonn:2;2013.10.07 11:06:00;;KUTTERSVINGEN 22;9017;TROMSØ;
1001604;49097112109;LLOYD-ANDRE;;PRZEPIORKA;1971.09.09 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BIRKELUNDSVEIE 1358 JAR;1358;JAR;
1001620;43108309289;ZEYNEB JAMAL;;RUGSET;1983.10.03 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;V/ELSE VOLL KROKVEGEN 8 B 4362 VIGRESTAD;4362;VIGRESTAD;
1001639;23065815532;LARS NORVALD;;NEGASE SIUM;1958.06.23 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;STAKKEVOLLVEGEN 366;9019;TROMSØ;
1001655;30117207826;MIMI KRISTINE;;KANO;1972.11.30 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;WIIG;1798;AREMARK;
1001663;24035219931;KRYSTIAN TOMASZ;ØHN;STRACHOTA;1952.03.24 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;NORDALVEIEN 70;0584;OSLO;
1001671;13027832517;LOUIS VAN;;VILCE;1978.02.13 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;MÅKEVEIEN 14;3209;SANDEFJORD;
1001736;20025541317;WALTER FRANCISCO;GAMME;EILEVSTAD;1955.02.20 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;KANTARELLEN TERRASSE 17;1286;OSLO;
1001744;08067014449;ERNA MARGIT;;GRAFF-KALLEVÅG;1970.06.08 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SOLLIAVEIEN 38;1450;NESODDTANGEN;
1001779;22026709257;KIRA;;FAGERBAKK;1967.02.22 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;GULLHAUGVEIEN 45;1354;BÆRUMS VERK;
1001787;22057046647;LIV EDNA;;CHRISTEN;1970.05.22 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;GREVLINGÅSEN 9 C;1362;HOSLE;
